dataset,column_name,suggested_standard_name,data_type,total_rows,missing_count,missing_percentage,unique_count,unique_percentage,column_category,potential_join_key,sample_values,numeric_min,numeric_max,numeric_mean,numeric_median
Allocated_Limit.csv,Sr. No.,sr_no,str,544,0,0.0,544,100.0,Other,No,1 | 2 | 3,,,,
Allocated_Limit.csv,State,state,str,544,0,0.0,37,6.8,Location,No,Maharashtra | Jammu And Kashmir | Bihar,,,,
Allocated_Limit.csv,Hon'ble Members of Parliaments,honble_members_of_parliaments,str,544,0,0.0,544,100.0,Text / Description,No,AASHTIKAR PATIL NAGESH BAPURAO | ABDUL RASHID SHEIKH | ABHAY KUMAR SINHA,,,,
Allocated_Limit.csv,Constituency,constituency,str,544,0,0.0,543,99.82,Location,No,HINGOLI | BARAMULLAH | AURANGABAD_BR,,,,
Allocated_Limit.csv,Allocated AMOUNT ( ₹ ),allocated_amount,str,544,1,0.18,153,28.12,Financial,No,190289442 | 154773472.11 | 147000000,,,,
Completed_On-going_Works.csv,Sr. No.,sr_no,str,8001,0,0.0,8001,100.0,Other,No,1 | 2 | 3,,,,
Completed_On-going_Works.csv,State,state,str,8001,0,0.0,35,0.44,Location,No,Uttar Pradesh | Odisha | Karnataka,,,,
Completed_On-going_Works.csv,Work,work,str,8001,0,0.0,94,1.17,Other,No,"Construction of roads, link roads, pathways or any other road with or without drainage system | Construction of community centers and community halls | Construction of additional rooms and halls in the existing public and community building",,,,
Completed_On-going_Works.csv,Work ID,work_id,str,8001,0,0.0,6108,76.34,Identifier,Possible,WS/MP18218/2025-2026/233777 | WS/MP18218/2025-2026/233878 | WS/MP18218/2025-2026/233781,,,,
Completed_On-going_Works.csv,IDA,ida,str,8001,0,0.0,589,7.36,Identifier,Possible,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA) | Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA) | CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA),,,,
Completed_On-going_Works.csv,Hon'ble Members of Parliament,honble_members_of_parliament,str,8001,0,0.0,460,5.75,Text / Description,No,ATUL GARG | Shri Jual Oram | GOVIND MAKTHAPPA KARJOL,,,,
Completed_On-going_Works.csv,Constituency,constituency,str,8001,0,0.0,460,5.75,Location,No,GHAZIABAD | SUNDARGARH (ST) | CHITRADURGA(SC),,,,
Completed_On-going_Works.csv,Expenditure Date,expenditure_date,str,8001,0,0.0,167,2.09,Date / Time,No,21-Aug-2026 | 04-Aug-2026 | 31-Aug-2026,,,,
Completed_On-going_Works.csv,Vendor Name,vendor_name,str,8001,0,0.0,4682,58.52,Text / Description,No,DARSH BUILDCON | MEMBER SECY OB AND OC WWB BBSR | KRIDL BHUSIRI ACCOUNT WORKS,,,,
Completed_On-going_Works.csv,Payment Status,payment_status,str,8001,0,0.0,3,0.04,Financial,No,Payment In-Progress | Payment Success |  ,,,,
Completed_On-going_Works.csv,Fund Disbursed Amount ( ₹ ),fund_disbursed_amount,str,8001,0,0.0,3938,49.22,Financial,No,799146 | 832080 | 498309,,,,
consented_Calamity.csv,Sr. No.,sr_no,str,13,0,0.0,13,100.0,Other,No,1 | 2 | 3,,,,
consented_Calamity.csv,Calamity Type,calamity_type,str,13,0,0.0,3,23.08,Other,No,National Calamity | State Calamity |  ,,,,
consented_Calamity.csv,Calamity Name,calamity_name,str,13,0,0.0,7,53.85,Text / Description,No,Flood 2025 in Punjab | Andhra Pradesh rainfall and consequent floods - 2024 | Meppadi landslides 2024,,,,
consented_Calamity.csv,Hon'ble Members of Parliament,honble_members_of_parliament,str,13,0,0.0,11,84.62,Text / Description,No,Shri Gurjeet Singh Aujla | GURMEET SINGH MEET HAYER | Shri Jual Oram,,,,
consented_Calamity.csv,Date of Consent,date_of_consent,str,13,0,0.0,12,92.31,Date / Time,No,07-Dec-2025 | 03-Nov-2025 | 10-Oct-2025,,,,
consented_Calamity.csv,Consent Amount ( ₹ ),consent_amount,str,13,0,0.0,7,53.85,Financial,No,7067400 | 7500000 | 10000000,,,,
Works Completed.csv,Sr. No.,sr_no,str,27001,0,0.0,27001,100.0,Other,No,1 | 2 | 3,,,,
Works Completed.csv,Work Category,work_category,str,27001,0,0.0,4,0.01,Other,No,Normal/Others | Repair and Renovation | Trust and Society,,,,
Works Completed.csv,Work,work,str,27001,0,0.0,27001,100.0,Other,No,"WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system | WS/MP18152/2024-2025/133691-Construction of rooms and halls in school and colleges | WS/MP345/2024-2025/134140-Construction of roads, link roads, pathways or any other road with or without drainage system",,,,
Works Completed.csv,State,state,str,27001,0,0.0,34,0.13,Location,No,Bihar | Punjab | Kerala,,,,
Works Completed.csv,IDA,ida,str,27001,0,0.0,636,2.36,Identifier,Possible,ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA) | FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA) | KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),,,,
Works Completed.csv,Work Description,work_description,str,27001,79,0.29,24426,90.46,Text / Description,No,"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block. | Construction of MID DAY Meal Shed in Govt Primary school Bajakhana (Bus adda) | Concreting of road from Janathavayanasala -  Panthaplavil, ward no.6  Thrikkaruva GP, in  Kollam Constituency",,,,
Works Completed.csv,Hon'ble Members of Parliament,honble_members_of_parliament,str,27001,0,0.0,484,1.79,Text / Description,No,Pradeep Kumar Singh | SARABJEET SINGH KHALSA | Shri NK Premachandran,,,,
Works Completed.csv,Constituency,constituency,str,27001,0,0.0,484,1.79,Location,No,ARARIA | FARIDKOT(SC) | KOLLAM,,,,
Works Completed.csv,Image,image,str,27001,7956,29.47,2,0.01,Other,No,Images |  ,,,,
Works Completed.csv,Completion Date,completion_date,str,27001,0,0.0,590,2.19,Date / Time,No,05-Sep-24 | 07-Apr-25 | 12-Aug-24,,,,
Works Completed.csv,Amount Disbursed ( ₹ ),amount_disbursed,str,27001,27,0.1,9714,35.98,Financial,No,448127 | 300000 | 293492,,,,
Works Sanctioned.csv,Sr. No.,sr_no,str,37001,0,0.0,37001,100.0,Other,No,1 | 2 | 3,,,,
Works Sanctioned.csv,Work category,work_category,str,37001,0,0.0,5,0.01,Other,No,Normal/Others | Trust and Society | Repair and Renovation,,,,
Works Sanctioned.csv,Work,work,str,37001,0,0.0,37001,100.0,Other,No,WS/	 MP620/2024-2025/133166-Construction of buildings for community cultural activities | WS/	 MP620/2025-2026/133167-Construction of rooms and halls in school and colleges | WS/	 MP620/2024-2025/133190-Construction of buildings for community cultural activities,,,,
Works Sanctioned.csv,State,state,str,37001,0,0.0,34,0.09,Location,No,Karnataka | Bihar | West Bengal,,,,
Works Sanctioned.csv,IDA,ida,str,37001,0,0.0,672,1.82,Identifier,Possible,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA) | HAVERI(DEPUTY COMMISSIONER HAVERI_IDA) | ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),,,,
Works Sanctioned.csv,Hon'ble Members of Parliament,honble_members_of_parliament,str,37001,0,0.0,502,1.36,Text / Description,No,Pralhad Venkatesh Joshi | Pradeep Kumar Singh | Dr Sukanta Majumdar,,,,
Works Sanctioned.csv,Constituency,constituency,str,37001,0,0.0,502,1.36,Location,No,DHARWAD | ARARIA | BALURGHAT,,,,
Works Sanctioned.csv,Work description,work_description,str,37001,86,0.23,33724,91.14,Text / Description,No,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work | Construction of College room of  CBS Charitable Foudation at Nulvi Vilage Pry No 817/3 Continued work | Construction of Community Bhavan of Veerashaiv Jangam Society (R) at Ward No 21 Chidamarnagar Dharwad,,,,
Works Sanctioned.csv,Recommended date,recommended_date,str,37001,0,0.0,365,0.99,Date / Time,No,08-Jul-24 | 09-Jul-24 | 12-Jul-24,,,,
Works Sanctioned.csv,Sanction Date,sanction_date,str,37001,0,0.0,628,1.7,Date / Time,No,09-Jul-24 | 18-Sep-25 | 23-Sep-24,,,,
Works Sanctioned.csv,Sanction Amount ( ₹ ),sanction_amount,str,37001,0,0.0,8898,24.05,Financial,No,497185 | 500000 | 450000,,,,
Works Sanctioned.csv,Work Status,work_status,str,37001,0,0.0,7,0.02,Status,No,Physical Inspection | Sanction | Work partially Completed,,,,
Works_Recommended.csv,Sr. No.,sr_no,str,24963,0,0.0,24963,100.0,Other,No,1 | 2 | 3,,,,
Works_Recommended.csv,Work category,work_category,str,24963,5,0.02,5,0.02,Other,No,Normal/Others | Repair and Renovation | Bar and Associations,,,,
Works_Recommended.csv,WORK,work,str,24963,0,0.0,19193,76.89,Other,No,WS/MP187/2023-2024/1199-Construction of rooms and halls in school and colleges | WS/MP187/2023-2024/1200-Construction of rooms and halls in school and colleges | WS/MP187/2023-2024/1211-Construction of rooms and halls in school and colleges,,,,
Works_Recommended.csv,State,state,str,24963,0,0.0,30,0.12,Location,No,Uttar Pradesh | Bihar | Madhya Pradesh,,,,
Works_Recommended.csv,IDA,ida,str,24963,0,0.0,621,2.49,Identifier,Possible,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA) | ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA) | PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),,,,
Works_Recommended.csv,Hon'ble Members of Parliament,honble_members_of_parliament,str,24963,0,0.0,191,0.77,Text / Description,No,Shri Javed Ali Khan (2022-28) (2022-2028) | Shri Shambhu Sharan Patel (2022-28) (2022-2028) | Shri Mithlesh Kumar (2022-28) (2022-2028),,,,
Works_Recommended.csv,Elected/Nominated,elected_nominated,str,24963,0,0.0,3,0.01,Other,No,Elected MP | Nominated MP |  ,,,,
Works_Recommended.csv,Work description,work_description,str,24963,23,0.09,21920,87.81,Text / Description,No,Construction of Class room Sompal Singh Memorial Public School | Construction of Class room and Hall Sainik Veer Abdul Hamid Uchhtar madhyamik Vidyalaya | Construction of Classroom and hall Galaxy Public School lakhna,,,,
Works_Recommended.csv,Recommended date,recommended_date,str,24963,0,0.0,970,3.89,Date / Time,No,14-Jun-23 | 19-Jun-23 | 21-Jun-23,,,,
Works_Recommended.csv,RECOMMENDED AMOUNT   ( ₹ ),recommended_amount,str,24963,0,0.0,4979,19.95,Financial,No,1000000 | 1484933 | 1486089,,,,
Works_Recommended.csv,Sanction Date,sanction_date,str,24963,5861,23.48,808,3.24,Date / Time,No,07-Nov-23 | 08-Dec-23 | 15-Mar-24,,,,
